"","season","episode","scene","utterance","emotion"
"90",1,1,15,7,"Mad"
"91",1,1,15,8,"Peaceful"
"92",1,1,15,9,"Joyful"
"93",1,1,15,10,"Neutral"
"94",1,1,15,11,"Peaceful"
"95",1,1,15,12,"Scared"
"96",1,1,15,13,"Neutral"
"97",1,1,15,14,"Joyful"
"98",1,1,15,15,"Peaceful"
"99",1,1,15,16,"Scared"
"100",1,1,15,17,"Mad"
"101",1,1,15,18,"Neutral"
"102",1,2,1,1,"Joyful"
"103",1,2,1,2,"Neutral"
"104",1,2,1,3,"Joyful"
"105",1,2,1,4,"Powerful"
"106",1,2,1,5,"Powerful"
"107",1,2,1,6,"Joyful"
"108",1,2,1,7,"Neutral"
"109",1,2,1,8,"Mad"
"110",1,2,1,9,"Sad"
"111",1,2,1,10,"Joyful"
"112",1,2,2,1,"Scared"
"113",1,2,2,2,"Sad"
"114",1,2,2,3,"Scared"
"115",1,2,2,4,"Mad"
"116",1,2,2,5,"Neutral"
"117",1,2,2,6,"Mad"
"118",1,2,2,8,"Scared"
"119",1,2,2,9,"Joyful"
"120",1,2,2,10,"Scared"
"121",1,2,2,12,"Neutral"
"122",1,2,2,13,"Neutral"
"123",1,2,2,14,"Scared"
"124",1,2,2,15,"Joyful"
"125",1,2,2,16,"Joyful"
"126",1,2,2,17,"Neutral"
"127",1,2,2,18,"Peaceful"
"128",1,2,2,19,"Mad"
"129",1,2,2,20,"Scared"
"130",1,2,2,21,"Neutral"
"131",1,2,2,22,"Scared"
"132",1,2,6,1,"Neutral"
"133",1,2,6,3,"Neutral"
"134",1,2,6,4,"Neutral"
"135",1,2,6,5,"Mad"
"136",1,2,6,6,"Neutral"
"137",1,2,6,7,"Neutral"
"138",1,2,6,8,"Neutral"
"139",1,2,6,9,"Neutral"
"140",1,2,6,10,"Neutral"
"141",1,2,6,11,"Neutral"
"142",1,2,6,12,"Neutral"
"143",1,2,6,13,"Neutral"
"144",1,2,6,14,"Neutral"
"145",1,2,6,15,"Joyful"
"146",1,2,6,16,"Scared"
"147",1,2,7,1,"Neutral"
"148",1,2,7,2,"Neutral"
"149",1,2,7,3,"Scared"
"150",1,2,7,4,"Neutral"
"151",1,2,7,5,"Scared"
"152",1,2,7,6,"Peaceful"
"153",1,2,7,7,"Sad"
"154",1,2,7,8,"Neutral"
"155",1,2,7,9,"Neutral"
"156",1,2,7,10,"Neutral"
"157",1,2,7,12,"Sad"
"158",1,2,7,13,"Neutral"
"159",1,2,8,1,"Scared"
"160",1,2,8,2,"Mad"
"161",1,2,8,3,"Scared"
"162",1,2,8,4,"Powerful"
"163",1,2,8,5,"Mad"
"164",1,2,8,6,"Powerful"
"165",1,2,8,7,"Mad"
"166",1,2,8,8,"Neutral"
"167",1,2,8,9,"Scared"
"168",1,2,8,10,"Neutral"
"169",1,2,8,11,"Powerful"
"170",1,2,8,12,"Powerful"
"171",1,2,9,1,"Neutral"
"172",1,2,9,2,"Scared"
"173",1,2,9,3,"Joyful"
"174",1,2,9,4,"Scared"
"175",1,2,9,5,"Scared"
"176",1,2,9,6,"Mad"
"177",1,2,9,7,"Neutral"
"178",1,2,9,8,"Neutral"
"179",1,2,9,9,"Scared"
"180",1,2,9,10,"Mad"
"181",1,2,9,11,"Scared"
"182",1,2,9,12,"Mad"
"183",1,2,9,13,"Mad"
"184",1,2,9,14,"Mad"
"185",1,2,9,15,"Peaceful"
"186",1,2,9,16,"Mad"
"187",1,2,9,17,"Neutral"
"188",1,2,9,18,"Scared"
"189",1,2,9,19,"Joyful"
"190",1,2,9,20,"Scared"
"191",1,2,9,21,"Sad"
"192",1,2,9,22,"Sad"
"193",1,2,9,23,"Sad"
"194",1,2,9,25,"Scared"
"195",1,2,10,1,"Mad"
"196",1,2,10,2,"Mad"
"197",1,2,10,3,"Powerful"
"198",1,2,10,4,"Powerful"
"199",1,2,10,5,"Powerful"
"200",1,2,10,6,"Mad"
"201",1,2,10,7,"Neutral"
"202",1,2,10,8,"Mad"
"203",1,2,10,9,"Powerful"
"204",1,2,10,10,"Mad"
"205",1,2,10,11,"Mad"
"206",1,2,10,12,"Mad"
"207",1,2,10,13,"Mad"
"208",1,2,10,14,"Neutral"
"209",1,2,10,15,"Powerful"
"210",1,2,10,16,"Mad"
"211",1,2,10,17,"Mad"
"212",1,2,10,18,"Neutral"
"213",1,2,10,19,"Neutral"
"214",1,2,10,20,"Neutral"
"215",1,2,10,21,"Sad"
"216",1,2,10,23,"Joyful"
"217",1,2,10,24,"Joyful"
"218",1,2,10,25,"Joyful"
"219",1,2,11,1,"Joyful"
"220",1,2,11,2,"Neutral"
"221",1,2,11,3,"Joyful"
"222",1,2,11,4,"Joyful"
"223",1,2,11,5,"Mad"
"224",1,2,11,6,"Neutral"
"225",1,2,11,7,"Neutral"
"226",1,2,11,8,"Sad"
"227",1,2,11,9,"Neutral"
"228",1,2,11,10,"Neutral"
"229",1,2,11,11,"Powerful"
"230",1,2,11,12,"Mad"
"231",1,2,11,13,"Joyful"
"232",1,2,11,14,"Joyful"
"233",1,2,11,15,"Mad"
"234",1,3,1,1,"Joyful"
"235",1,3,1,2,"Joyful"
"236",1,3,1,3,"Joyful"
"237",1,3,1,4,"Sad"
"238",1,3,1,5,"Sad"
"239",1,3,1,6,"Neutral"
"240",1,3,1,7,"Neutral"
"241",1,3,1,8,"Neutral"
"242",1,3,1,9,"Neutral"
"243",1,3,1,10,"Neutral"
"244",1,3,1,11,"Mad"
"245",1,3,1,12,"Neutral"
"246",1,3,1,13,"Neutral"
"247",1,3,1,14,"Neutral"
"248",1,3,1,15,"Neutral"
"249",1,3,1,16,"Neutral"
"250",1,3,1,17,"Scared"
"251",1,3,2,1,"Neutral"
"252",1,3,2,2,"Peaceful"
"253",1,3,2,3,"Joyful"
"254",1,3,2,4,"Powerful"
"255",1,3,2,5,"Neutral"
"256",1,3,2,6,"Neutral"
"257",1,3,2,7,"Neutral"
"258",1,3,2,9,"Neutral"
"259",1,3,2,10,"Scared"
"260",1,3,2,11,"Powerful"
"261",1,3,2,13,"Powerful"
"262",1,3,2,14,"Scared"
"263",1,3,2,15,"Powerful"
"264",1,3,2,16,"Powerful"
"265",1,3,2,17,"Neutral"
"266",1,3,2,19,"Neutral"
"267",1,3,2,20,"Neutral"
"268",1,3,2,21,"Powerful"
"269",1,3,2,23,"Powerful"
"270",1,3,2,24,"Neutral"
"271",1,3,2,25,"Scared"
"272",1,3,6,1,"Neutral"
"273",1,3,6,2,"Neutral"
"274",1,3,6,3,"Joyful"
"275",1,3,6,4,"Joyful"
"276",1,3,6,5,"Neutral"
"277",1,3,6,6,"Joyful"
"278",1,3,6,7,"Sad"
"279",1,3,6,8,"Joyful"
"280",1,3,6,9,"Scared"
"281",1,3,6,10,"Neutral"
"282",1,3,6,11,"Neutral"
"283",1,3,6,12,"Mad"
"284",1,3,6,13,"Joyful"
"285",1,3,6,14,"Joyful"
"286",1,3,7,1,"Neutral"
"287",1,3,7,2,"Neutral"
"288",1,3,7,3,"Neutral"
"289",1,3,7,4,"Neutral"
"290",1,3,7,5,"Neutral"
"291",1,3,7,6,"Neutral"
"292",1,3,7,7,"Neutral"
"293",1,3,7,8,"Joyful"
"294",1,3,7,9,"Neutral"
"295",1,3,7,10,"Neutral"
"296",1,3,7,11,"Neutral"
"297",1,3,7,12,"Neutral"
"298",1,3,7,13,"Neutral"
"299",1,3,7,14,"Joyful"
"300",1,3,7,15,"Neutral"
"301",1,3,7,16,"Neutral"
"302",1,3,7,17,"Neutral"
"303",1,3,7,18,"Neutral"
"304",1,3,7,19,"Neutral"
"305",1,3,9,1,"Neutral"
"306",1,3,9,3,"Scared"
"307",1,3,9,4,"Mad"
"308",1,3,9,5,"Neutral"
"309",1,3,9,6,"Neutral"
"310",1,3,9,7,"Scared"
"311",1,3,9,9,"Scared"
"312",1,3,9,10,"Scared"
"313",1,3,9,11,"Neutral"
"314",1,3,9,12,"Neutral"
"315",1,3,9,13,"Scared"
"316",1,3,9,15,"Sad"
"317",1,3,9,16,"Neutral"
"318",1,3,9,17,"Neutral"
"319",1,3,9,19,"Joyful"
"320",1,3,9,20,"Joyful"
"321",1,3,9,22,"Neutral"
"322",1,3,9,23,"Neutral"
"323",1,3,9,24,"Neutral"
"324",1,3,9,25,"Mad"
"325",1,3,10,1,"Neutral"
"326",1,3,10,2,"Neutral"
"327",1,3,10,3,"Peaceful"
"328",1,3,10,4,"Joyful"
"329",1,3,10,5,"Scared"
"330",1,3,10,6,"Powerful"
"331",1,3,10,7,"Sad"
"332",1,3,10,8,"Powerful"
"333",1,3,10,9,"Sad"
"334",1,3,11,1,"Neutral"
"335",1,3,11,2,"Mad"
"336",1,3,11,3,"Mad"
"337",1,3,11,4,"Neutral"
"338",1,3,11,5,"Joyful"
"339",1,3,11,6,"Peaceful"
"340",1,3,11,7,"Sad"
"341",1,3,11,8,"Neutral"
"342",1,3,13,1,"Joyful"
"343",1,3,13,2,"Sad"
"344",1,3,13,3,"Peaceful"
"345",1,3,13,4,"Neutral"
"346",1,3,13,5,"Mad"
"347",1,3,14,1,"Peaceful"
"348",1,3,14,2,"Powerful"
"349",1,3,14,3,"Neutral"
"350",1,3,14,4,"Peaceful"
"351",1,3,14,5,"Neutral"
"352",1,3,14,6,"Sad"
"353",1,3,14,7,"Scared"
"354",1,3,14,8,"Sad"
"355",1,3,14,9,"Peaceful"
"356",1,3,14,10,"Powerful"
"357",1,3,14,11,"Mad"
"358",1,3,14,12,"Scared"
"359",1,3,14,13,"Powerful"
"360",1,3,14,14,"Neutral"
"361",1,4,1,1,"Neutral"
"362",1,4,1,2,"Joyful"
"363",1,4,1,3,"Joyful"
"364",1,4,1,4,"Joyful"
"365",1,4,1,5,"Joyful"
"366",1,4,1,6,"Joyful"
"367",1,4,1,7,"Neutral"
"368",1,4,1,8,"Neutral"
"369",1,4,1,9,"Neutral"
"370",1,4,1,10,"Sad"
"371",1,4,1,11,"Neutral"
"372",1,4,1,12,"Sad"
"373",1,4,3,1,"Joyful"
"374",1,4,3,2,"Joyful"
"375",1,4,3,3,"Neutral"
"376",1,4,3,4,"Neutral"
"377",1,4,3,6,"Neutral"
"378",1,4,3,7,"Neutral"
"379",1,4,3,8,"Joyful"
"380",1,4,3,9,"Neutral"
"381",1,4,3,10,"Joyful"
"382",1,4,3,11,"Joyful"
"383",1,4,3,12,"Joyful"
"384",1,4,3,13,"Neutral"
"385",1,4,3,14,"Joyful"
"386",1,4,4,1,"Joyful"
"387",1,4,4,2,"Joyful"
"388",1,4,4,3,"Neutral"
"389",1,4,4,4,"Neutral"
"390",1,4,4,5,"Neutral"
"391",1,4,4,6,"Mad"
"392",1,4,4,7,"Neutral"
"393",1,4,4,8,"Mad"
"394",1,4,4,9,"Neutral"
"395",1,4,4,10,"Neutral"
"396",1,4,4,11,"Neutral"
"397",1,4,5,1,"Joyful"
"398",1,4,5,2,"Neutral"
"399",1,4,5,3,"Neutral"
"400",1,4,5,4,"Neutral"
"401",1,4,5,5,"Joyful"
"402",1,4,5,6,"Joyful"
"403",1,4,5,7,"Neutral"
"404",1,4,5,8,"Scared"
"405",1,4,5,9,"Neutral"
"406",1,4,5,10,"Scared"
"407",1,4,5,11,"Joyful"
"408",1,4,5,12,"Mad"
"409",1,4,5,13,"Neutral"
"410",1,4,5,14,"Sad"
"411",1,4,7,1,"Joyful"
"412",1,4,7,2,"Sad"
"413",1,4,7,3,"Neutral"
"414",1,4,7,4,"Neutral"
"415",1,4,7,5,"Neutral"
"416",1,4,7,6,"Neutral"
"417",1,4,7,7,"Joyful"
"418",1,4,7,8,"Neutral"
"419",1,4,7,9,"Neutral"
"420",1,4,7,10,"Neutral"
"421",1,4,7,11,"Neutral"
"422",1,4,7,12,"Neutral"
"423",1,4,7,13,"Neutral"
"424",1,4,7,14,"Neutral"
"425",1,4,7,15,"Scared"
"426",1,4,7,16,"Neutral"
"427",1,4,7,17,"Neutral"
"428",1,4,7,18,"Neutral"
"429",1,4,8,1,"Mad"
"430",1,4,8,2,"Neutral"
"431",1,4,8,3,"Powerful"
"432",1,4,8,4,"Joyful"
"433",1,4,8,5,"Joyful"
"434",1,4,8,7,"Joyful"
"435",1,4,9,1,"Neutral"
"436",1,4,9,2,"Mad"
"437",1,4,9,3,"Mad"
"438",1,4,9,4,"Mad"
"439",1,4,9,5,"Mad"
"440",1,4,9,6,"Mad"
"441",1,4,9,7,"Neutral"
"442",1,4,9,8,"Mad"
"443",1,4,9,9,"Mad"
"444",1,4,12,1,"Neutral"
"445",1,4,12,2,"Neutral"
"446",1,4,12,3,"Neutral"
"447",1,4,12,4,"Joyful"
"448",1,4,12,5,"Mad"
"449",1,4,12,6,"Neutral"
"450",1,4,12,7,"Neutral"
"451",1,4,12,8,"Neutral"
"452",1,4,12,9,"Neutral"
"453",1,4,13,1,"Peaceful"
"454",1,4,13,2,"Mad"
"455",1,4,13,3,"Neutral"
"456",1,4,13,4,"Scared"
"457",1,4,13,5,"Joyful"
"458",1,4,13,6,"Mad"
"459",1,4,13,7,"Neutral"
"460",1,4,13,8,"Scared"
"461",1,4,13,9,"Neutral"
"462",1,4,13,10,"Sad"
"463",1,4,13,11,"Neutral"
"464",1,4,13,12,"Neutral"
"465",1,4,13,13,"Joyful"
"466",1,4,14,1,"Joyful"
"467",1,4,14,2,"Neutral"
"468",1,4,14,3,"Joyful"
"469",1,4,14,4,"Mad"
"470",1,4,14,5,"Mad"
"471",1,4,14,6,"Neutral"
"472",1,4,14,7,"Neutral"
"473",1,4,14,8,"Neutral"
"474",1,4,14,9,"Mad"
"475",1,4,14,10,"Powerful"
"476",1,4,14,11,"Mad"
"477",1,4,14,12,"Joyful"
"478",1,4,14,13,"Mad"
"479",1,4,14,14,"Mad"
"480",1,4,14,15,"Joyful"
"481",1,4,14,16,"Neutral"
"482",1,4,14,17,"Joyful"
"483",1,4,14,18,"Joyful"
"484",1,4,14,19,"Joyful"
"485",1,4,14,20,"Joyful"
"486",1,4,15,1,"Joyful"
"487",1,4,15,2,"Neutral"
"488",1,4,15,3,"Scared"
"489",1,4,15,4,"Powerful"
"490",1,4,15,5,"Neutral"
"491",1,4,15,6,"Mad"
"492",1,4,15,7,"Joyful"
"493",1,4,15,8,"Joyful"
"494",1,4,15,9,"Mad"
"495",1,4,15,10,"Neutral"
"496",1,4,15,11,"Mad"
"497",1,4,15,12,"Powerful"
"498",1,4,15,13,"Powerful"
"499",1,4,15,14,"Powerful"
"500",1,4,15,15,"Powerful"
"501",1,4,15,16,"Mad"
"502",1,4,15,17,"Mad"
"503",1,4,15,18,"Mad"
"504",1,4,15,19,"Mad"
"505",1,4,15,20,"Joyful"
"506",1,4,16,1,"Joyful"
"507",1,4,16,2,"Joyful"
"508",1,4,16,4,"Neutral"
"509",1,4,16,5,"Joyful"
"510",1,4,16,7,"Neutral"
"511",1,4,16,8,"Neutral"
"512",1,4,16,9,"Neutral"
"513",1,4,16,10,"Neutral"
"514",1,4,16,11,"Neutral"
"515",1,4,16,12,"Neutral"
"516",1,4,16,13,"Joyful"
"517",1,4,16,14,"Neutral"
"518",1,5,1,1,"Mad"
"519",1,5,1,2,"Mad"
"520",1,5,1,3,"Mad"
"521",1,5,1,4,"Peaceful"
"522",1,5,1,5,"Neutral"
"523",1,5,1,6,"Mad"
"524",1,5,1,8,"Neutral"
"525",1,5,3,1,"Joyful"
"526",1,5,3,2,"Mad"
"527",1,5,3,3,"Joyful"
"528",1,5,3,4,"Scared"
"529",1,5,3,5,"Neutral"
"530",1,5,3,6,"Mad"
"531",1,5,3,7,"Sad"
"532",1,5,3,8,"Neutral"
"533",1,5,3,9,"Sad"
"534",1,5,4,1,"Neutral"
"535",1,5,4,2,"Neutral"
"536",1,5,4,3,"Neutral"
"537",1,5,4,4,"Joyful"
"538",1,5,4,5,"Neutral"
"539",1,5,4,6,"Neutral"
"540",1,5,4,7,"Scared"
"541",1,5,4,8,"Joyful"
"542",1,5,4,9,"Neutral"
"543",1,5,4,10,"Neutral"
"544",1,5,4,11,"Peaceful"
"545",1,5,4,12,"Peaceful"
"546",1,5,5,1,"Joyful"
"547",1,5,5,2,"Neutral"
"548",1,5,5,3,"Neutral"
"549",1,5,5,4,"Neutral"
"550",1,5,5,5,"Mad"
"551",1,5,5,6,"Neutral"
"552",1,5,5,7,"Scared"
"553",1,5,5,9,"Neutral"
"554",1,5,5,10,"Sad"
"555",1,5,6,1,"Scared"
"556",1,5,6,2,"Joyful"
"557",1,5,6,3,"Joyful"
"558",1,5,6,4,"Mad"
"559",1,5,6,6,"Neutral"
"560",1,5,6,7,"Neutral"
"561",1,5,6,8,"Neutral"
"562",1,5,6,9,"Sad"
"563",1,5,6,10,"Neutral"
"564",1,5,6,11,"Neutral"
"565",1,5,6,13,"Neutral"
"566",1,5,6,14,"Neutral"
"567",1,5,6,15,"Neutral"
"568",1,5,6,16,"Neutral"
"569",1,5,6,17,"Joyful"
"570",1,5,6,18,"Neutral"
"571",1,5,6,19,"Joyful"
"572",1,5,6,21,"Neutral"
"573",1,5,6,22,"Neutral"
"574",1,5,6,24,"Neutral"
"575",1,5,6,25,"Neutral"
"576",1,5,6,26,"Neutral"
"577",1,5,6,27,"Neutral"
"578",1,5,8,1,"Joyful"
"579",1,5,8,2,"Neutral"
"580",1,5,8,3,"Neutral"
"581",1,5,8,4,"Neutral"
"582",1,5,8,5,"Scared"
"583",1,5,8,6,"Neutral"
"584",1,5,8,7,"Scared"
"585",1,5,9,1,"Joyful"
"586",1,5,9,2,"Joyful"
"587",1,5,9,3,"Joyful"
"588",1,5,9,4,"Neutral"
"589",1,5,9,5,"Joyful"
"590",1,5,9,6,"Joyful"
"591",1,5,9,7,"Joyful"
"592",1,5,10,1,"Joyful"
"593",1,5,10,2,"Neutral"
"594",1,5,10,3,"Joyful"
"595",1,5,10,4,"Joyful"
"596",1,5,10,5,"Joyful"
"597",1,5,10,6,"Neutral"
"598",1,5,12,1,"Powerful"
"599",1,5,12,2,"Scared"
"600",1,5,12,3,"Scared"
"601",1,5,12,4,"Scared"
"602",1,5,12,5,"Scared"
"603",1,5,12,6,"Mad"
"604",1,5,12,7,"Scared"
"605",1,5,12,8,"Sad"
"606",1,5,12,9,"Sad"
"607",1,5,12,10,"Sad"
"608",1,5,12,11,"Sad"
"609",1,5,13,1,"Scared"
"610",1,5,13,3,"Scared"
"611",1,5,13,4,"Neutral"
"612",1,5,13,5,"Neutral"
"613",1,5,13,6,"Neutral"
"614",1,5,13,7,"Powerful"
"615",1,5,13,8,"Peaceful"
"616",1,5,13,9,"Sad"
"617",1,5,13,10,"Neutral"
"618",1,5,13,11,"Mad"
"619",1,5,13,12,"Neutral"
"620",1,5,13,13,"Neutral"
"621",1,5,13,14,"Joyful"
"622",1,5,13,15,"Neutral"
"623",1,5,13,16,"Neutral"
"624",1,5,13,17,"Neutral"
"625",1,5,13,18,"Peaceful"
"626",1,5,13,20,"Scared"
"627",1,5,13,22,"Neutral"
"628",1,5,14,1,"Joyful"
"629",1,5,14,2,"Sad"
"630",1,5,14,3,"Scared"
"631",1,5,14,4,"Mad"
"632",1,5,14,6,"Joyful"
"633",1,5,14,7,"Scared"
"634",1,5,14,8,"Scared"
"635",1,5,14,9,"Joyful"
"636",1,5,14,10,"Neutral"
"637",1,5,14,11,"Neutral"
"638",1,5,14,13,"Scared"
"639",1,5,14,14,"Neutral"
"640",1,5,14,16,"Scared"
"641",1,5,14,17,"Joyful"
"642",1,5,14,18,"Joyful"
"643",1,5,14,19,"Joyful"
"644",1,5,15,1,"Neutral"
"645",1,5,15,2,"Neutral"
"646",1,5,15,4,"Mad"
"647",1,5,15,5,"Mad"
"648",1,5,15,7,"Mad"
"649",1,5,15,8,"Mad"
"650",1,5,15,9,"Mad"
"651",1,5,15,10,"Mad"
"652",1,5,15,12,"Mad"
"653",1,5,15,14,"Joyful"
"654",1,5,15,15,"Joyful"
"655",1,5,15,16,"Joyful"
"656",1,5,15,18,"Peaceful"
"657",1,5,15,19,"Neutral"
"658",1,5,15,20,"Mad"
"659",1,5,16,1,"Neutral"
"660",1,5,16,2,"Neutral"
"661",1,5,16,3,"Scared"
"662",1,5,16,4,"Joyful"
"663",1,5,16,5,"Joyful"
"664",1,5,16,7,"Neutral"
"665",1,5,16,8,"Neutral"
"666",1,5,16,9,"Joyful"
"667",1,5,16,10,"Neutral"
"668",1,5,16,11,"Mad"
"669",1,5,16,12,"Sad"
"670",1,5,16,13,"Neutral"
"671",1,5,16,14,"Neutral"
"672",1,5,16,16,"Joyful"
"673",1,5,16,17,"Neutral"
"674",1,6,1,1,"Joyful"
"675",1,6,1,2,"Neutral"
"676",1,6,1,3,"Joyful"
"677",1,6,1,5,"Peaceful"
"678",1,6,1,7,"Neutral"
"679",1,6,1,8,"Joyful"
"680",1,6,5,1,"Neutral"
"681",1,6,5,3,"Neutral"
"682",1,6,5,4,"Neutral"
"683",1,6,5,5,"Joyful"
"684",1,6,5,6,"Scared"
"685",1,6,5,7,"Joyful"
"686",1,6,5,9,"Neutral"
"687",1,6,5,10,"Joyful"
"688",1,6,5,11,"Scared"
"689",1,6,5,12,"Neutral"
"690",1,6,5,14,"Mad"
"691",1,6,5,15,"Neutral"
"692",1,6,5,16,"Neutral"
"693",1,6,5,17,"Neutral"
"694",1,6,5,18,"Neutral"
"695",1,6,5,19,"Neutral"
"696",1,6,5,20,"Neutral"
"697",1,6,6,1,"Powerful"
"698",1,6,6,2,"Scared"
"699",1,6,6,3,"Powerful"
"700",1,6,6,4,"Scared"
"701",1,6,6,5,"Powerful"
"702",1,6,6,6,"Scared"
"703",1,6,6,7,"Powerful"
"704",1,6,6,9,"Mad"
"705",1,6,6,10,"Scared"
"706",1,6,6,11,"Mad"
"707",1,6,6,12,"Scared"
"708",1,6,6,13,"Mad"
"709",1,6,6,14,"Mad"
"710",1,7,3,1,"Joyful"
"711",1,7,3,2,"Scared"
"712",1,7,3,3,"Joyful"
"713",1,7,3,4,"Mad"
"714",1,7,3,5,"Scared"
"715",1,7,3,7,"Neutral"
"716",1,7,4,1,"Joyful"
"717",1,7,4,2,"Neutral"
"718",1,7,4,3,"Scared"
"719",1,7,4,4,"Neutral"
"720",1,7,4,5,"Neutral"
"721",1,7,4,6,"Neutral"
"722",1,7,4,7,"Joyful"
"723",1,7,5,1,"Neutral"
"724",1,7,5,2,"Neutral"
"725",1,7,5,3,"Joyful"
"726",1,7,5,4,"Mad"
"727",1,7,5,6,"Sad"
"728",1,7,6,1,"Joyful"
"729",1,7,6,3,"Joyful"
"730",1,7,6,5,"Scared"
"731",1,7,6,6,"Joyful"
"732",1,7,6,7,"Joyful"
"733",1,7,7,1,"Neutral"
"734",1,7,7,2,"Neutral"
"735",1,7,7,3,"Scared"
"736",1,7,7,4,"Sad"
"737",1,7,7,5,"Scared"
"738",1,7,7,6,"Scared"
"739",1,7,7,7,"Scared"
"740",1,7,7,8,"Mad"
"741",1,7,7,9,"Neutral"
"742",1,7,7,10,"Scared"
"743",1,7,7,11,"Joyful"
"744",1,7,7,12,"Peaceful"
"745",1,7,11,1,"Joyful"
"746",1,7,11,2,"Joyful"
"747",1,7,11,3,"Neutral"
"748",1,7,11,4,"Neutral"
"749",1,7,11,5,"Joyful"
"750",1,7,11,6,"Neutral"
"751",1,7,11,7,"Peaceful"
"752",1,7,11,8,"Scared"
"753",1,7,11,10,"Powerful"
"754",1,7,12,1,"Peaceful"
"755",1,7,12,3,"Neutral"
"756",1,7,12,4,"Scared"
"757",1,7,12,5,"Neutral"
"758",1,7,12,6,"Scared"
"759",1,7,12,7,"Neutral"
"760",1,7,14,1,"Scared"
"761",1,7,14,2,"Powerful"
"762",1,7,14,3,"Mad"
"763",1,7,14,4,"Mad"
"764",1,7,14,5,"Mad"
"765",1,7,14,6,"Mad"
"766",1,7,14,7,"Scared"
"767",1,7,14,8,"Powerful"
"768",1,7,14,9,"Peaceful"
"769",1,7,14,10,"Mad"
"770",1,7,14,11,"Mad"
"771",1,7,16,1,"Joyful"
"772",1,7,16,2,"Joyful"
"773",1,7,16,3,"Joyful"
"774",1,7,16,4,"Joyful"
"775",1,7,16,5,"Joyful"
"776",1,7,16,6,"Joyful"
"777",1,7,16,7,"Joyful"
"778",1,7,16,9,"Neutral"
"779",1,7,16,10,"Joyful"
"780",1,7,16,11,"Joyful"
"781",1,7,16,12,"Joyful"
"782",1,7,16,13,"Joyful"
"783",1,7,16,14,"Joyful"
"784",1,7,16,15,"Sad"
"785",1,7,16,16,"Joyful"
"786",1,7,16,18,"Powerful"
"787",1,7,16,19,"Neutral"
"788",1,7,16,20,"Neutral"
